,name,films,tv_shows,short_films,allies,enemies,park_attractions,films_count,tv_shows_count,short_films_count,park_attractions_count,enemies_count,allies_count
4052,Max,,['The Suite Life of Zack & Cody'],,,,,0,1,0,0,0,0
4053,Max and Quincy,['Herbie Goes to Monte Carlo'],,,,,,1,0,0,0,0,0
4054,Maximilian,['The Black Hole'],,,,,,1,0,0,0,0,0
4055,King Maximilian,"[""Rodgers & Hammerstein's Cinderella""]",,,,,,1,0,0,0,0,0
4056,Diane Maza,,['Gargoyles'],,,,,0,1,0,0,0,0
4057,Chuck McCoy,,['Austin and Ally'],,,,,0,1,0,0,0,0
4058,Molly McGee,,['The Ghost and Molly McGee'],,,,,0,1,0,0,0,0
4059,Lizzie McGuire,['The Lizzie McGuire Movie'],['Lizzie McGuire'],,,,,1,1,0,0,0,0
4060,Sam McGuire,['The Lizzie McGuire Movie'],['Lizzie McGuire'],,,,,1,1,0,0,0,0
4061,Loopey McQuack,,['DuckTales'],,,,,0,1,0,0,0,0
4062,Kirk McQuarrie,,['The Weekenders'],,,,,0,1,0,0,0,0
4063,Meg,['Inside Out'],,,,,,1,0,0,0,0,0
4064,Melissa,,['Phineas and Ferb'],,,,,0,1,0,0,0,0
4065,Merlin,"['The Sword in the Stone', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains""]","['House of Mouse', 'Once Upon a Time', 'Sofia the First', 'At Home With Olaf', 'The Wonderful World of Mickey Mouse']",,,,"['Sword in the Stone (attraction)', 'Sorcerers of the Magic Kingdom', 'Magic Happens']",3,5,0,3,0,0
4066,Merrie Men,['The Story of Robin Hood and His Merrie Men'],['Once Upon a Time'],,,,,1,1,0,0,0,0
4067,Miklos the Grey Mouse,,,,,,,0,0,0,0,0,0
4068,Milky White,['Into the Woods'],,,,,,1,0,0,0,0,0
4069,Millie and Melody Mouse,,"['Mickey Mouse Works', ""Minnie's Bow-Toons"", 'Mickey Mouse Clubhouse', 'Mickey Mouse Mixed-Up Adventures']","[""Mickey's Christmas Carol""]",,,,0,4,1,0,0,0
4070,Minos and Fatima,,['Aladdin (TV series)'],,,,,0,1,0,0,0,0
4071,Mac Antfee,,['Randy Cunningham: 9th Grade Ninja'],,,,,0,1,0,0,0,0
4072,MacKnee,,['TaleSpin'],,,,,0,1,0,0,0,0
4073,The Mad Hatter,"['Alice in Wonderland (1951 film)', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", 'The Lion King 1½', 'Descendants', 'Ralph Breaks the Internet']","['Walt Disney anthology series', 'Adventures in Wonderland', 'Bonkers', 'Mickey Mouse Works', 'House of Mouse', 'Once Upon a Time']","['Pit Crew', 'Electric Holiday']",,,"['Alice in Wonderland (Disneyland attraction)', 'Mad Tea Party', 'Fantasmic!', ""Walt Disney's Parade of Dreams"", ""Mickey's Boo-to-You Halloween Parade"", ""Mickey's Once Upon a Christmastime Parade"", 'Celebrate A Dreams Come True Parade', 'Mickey Mouse Revue', 'Festival of Fantasy Parade']",5,6,2,9,0,0
4074,Madame Leota,"['The Haunted Mansion (film)', ""Mickey's House of Villains"", 'The Princess and the Frog']","['House of Mouse', 'Once Upon a Time']",,,,"['The Haunted Mansion (attraction)', 'Superstar Limo', 'Phantom Manor', 'Haunted Mansion Holiday', 'Star Tours: The Adventures Continue', 'Memento Mori', 'Happy Hallowishes', 'Remember... Dreams Come True']",3,2,0,8,0,0
4075,Madame Medusa,"['The Rescuers', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'Once Upon a Halloween']",['House of Mouse'],,,,,4,1,0,0,0,0
4076,Madame Tangerine,,,,,,"['The Haunted Mansion', 'Haunted Mansion Holiday', 'Camp Discovery']",0,0,0,3,0,0
4077,Magnet,['Holes'],,,,,,1,0,0,0,0,0
4078,Major,"['Cinderella', 'Cinderella II: Dreams Come True', 'Cinderella (2015 film)']",,,,,"[""Cinderella's Golden Carousel"", ""Cinderella's Fairy Tale Hall""]",3,0,0,2,0,0
4079,Makoos,"['Nikki, Wild Dog of the North']",,,,,,1,0,0,0,0,0
4080,Mamluks,,['Aladdin (TV series)'],,,,,0,1,0,0,0,0
4081,Manish,,"['Mira, Royal Detective']",,,,,0,1,0,0,0,0
4082,Collen Mansfield,['Beverly Hills Chihuahua 2'],,,,,,1,0,0,0,0,0
4083,Marahute,['The Rescuers Down Under'],,,,,['World of Color'],1,0,0,1,0,0
4084,Marina,['Pirates of the Caribbean: On Stranger Tides'],,,,,,1,0,0,0,0,0
4085,Marsha Robinson,['Beverly Hills Family Robinson'],,,,,,1,0,0,0,0,0
4086,Carey Martin,,"['The Suite Life of Zack & Cody', 'The Suite Life on Deck']",,,,,0,2,0,0,0,0
4087,Jerry Martinez,,"[""Kickin' It""]",,,,,0,1,0,0,0,0
4088,Mary,['The Search for Santa Paws'],,,,,,1,0,0,0,0,0
4089,Mason McCormick,['Tex'],,,,,,1,0,0,0,0,0
4090,Master Yo,,['Yin Yang Yo!'],,,,,0,1,0,0,0,0
4091,Mata,"[""The Emperor's New Groove"", ""The Emperor's New Groove 2: Kronk's New Groove""]","[""The Emperor's New School""]",,,,,2,1,0,0,0,0
